Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev
1	11886.658951944672	5502.242413759232	0.6606192718723527	0.5855785597426861
2	23772.566762028262	5203.394277900457	0.6812718697296711	0.6008734997500859
3	36060.43112308346	5113.969386309385	0.69922949347992	0.6260225363652727
4	48215.98382822797	5044.39007204771	0.7062506206666186	0.6319448128960545
5	59760.10766023118	4980.6712677031755	0.7158547655972454	0.6452600639291541
6	71165.26928156056	4932.223277390003	0.7230610710332968	0.6547336819489271
7	82548.37788508832	4868.3752932697535	0.7284800777300303	0.6623598101542496
8	94095.97910981253	4806.757915109396	0.7293524574494146	0.6557914309203812
9	105568.31645571627	4743.056607976556	0.7487973707403055	0.6812575429548146
10	117127.13205264881	4690.074079602957	0.7498226067705183	0.6815391304876948
11	128703.82911272626	4640.753620490432	0.7555256027572603	0.6943355362913601
