Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev
1	12130.804388549179	5528.449384987354	0.6547361453180935	0.5779948547393704
2	24309.44038105849	5208.172135382891	0.6823701217738756	0.6024087105447186
3	36187.40284940414	5127.557793885469	0.698294589604862	0.6254475494382272
4	48218.477176044136	5052.260604351759	0.7042390050814753	0.6285464399603014
5	60163.14565886371	4985.63508041203	0.7106708039764631	0.6402963318643315
6	72159.46290037688	4937.222407966852	0.7240156090182157	0.6563798262537598
7	83413.85947107617	4869.087439492345	0.7256454688835882	0.658410310450642
8	94944.31483808905	4807.224245741963	0.727895385375716	0.6559352339496511
9	106591.71482090466	4748.6562158465385	0.7482283246747036	0.6823772565784594
10	117846.11370727792	4691.7035292238	0.7464181741189768	0.6761354796950869
11	129431.8163667582	4637.390855818987	0.7579115626622577	0.6982415764958796
12	141043.4226720631	4584.40448384732	0.760286268219234	0.7003787354394044
13	152115.12280709203	4539.768777281046	0.7710528515772922	0.7102821860188151
