
classA_bp_train
The code uses GPU...
Training...
Epoch	Time(sec)	Loss_train	AUC_dev	PRC_dev
1	1778.4941472345963	5387.0106473863125	0.6700033775243899	0.5859264970469096
2	3474.911629607901	5178.186673045158	0.6837899462255661	0.6063285838300778
3	5130.052573776804	5091.770546555519	0.6968546049254151	0.624339266237973
4	6770.736671215855	5021.7596481740475	0.7098102428474805	0.6423363759421585
5	8411.265340579674	4961.091542750597	0.7130808661809831	0.6451319438935352
6	10126.388004999608	4909.85694257915	0.722888954232562	0.656987276123892
7	11812.94162424095	4852.763533681631	0.7251041164440115	0.6602345169850379
8	13493.73520608712	4805.328443482518	0.7242607570827363	0.6544767158945595
9	15162.188817013986	4764.824839577079	0.740907363661961	0.6757025702686164
10	16800.148831102997	4722.452852442861	0.7425965681009444	0.6762193095976349
11	18658.810421718284	4673.812278568745	0.7540131358066141	0.6926687104362835
12	20378.55336324498	4627.294290840626	0.7539771615424106	0.690205972548559
13	22031.514239331707	4587.414787277579	0.761704133072387	0.6990771816642863
14	23663.276340167038	4536.6212053895	0.7645967292607682	0.7050940292154612
15	25380.659341215156	4503.6248752474785	0.7638968170873821	0.7034744136683161
16	27099.37679396663	4471.945493340492	0.7673432171721952	0.70670140624059
17	28814.55463173613	4448.723808065057	0.7733505685489224	0.7132858175648314
18	30475.73530185409	4409.34239654243	0.7744113137246194	0.7143506023236175
19	32139.676345439628	4384.650324702263	0.7764149917919507	0.7178358559569836
20	33856.79493702762	4355.596778847277	0.7740435420660079	0.7152917919428614
21	35508.13709330838	4337.1821122169495	0.7778022198088237	0.7202710507548739
22	37185.14337501302	4304.018472343683	0.7800465777510139	0.7232072849231399
23	38869.349581548944	4288.610334418714	0.7848302322775433	0.7280119073017887
24	40562.995906880125	4252.930271707475	0.7818411201425136	0.7220280046992698
25	42218.42019122932	4236.624268479645	0.7833711167314397	0.7250243982274405
26	43858.92869548593	4217.553693883121	0.785782193047265	0.7312876274678104
27	45540.962032473646	4203.693305850029	0.7862485088751361	0.729997506247113
28	47195.4124029642	4189.668162174523	0.7910880615218172	0.7360837858907634
29	48878.456342430785	4161.396864295006	0.791016547612541	0.734998350256246
30	50513.3805735996	4148.066632881761	0.7905978111421583	0.734023223608662
31	52154.125620274805	4130.440962947905	0.78971058574825	0.7342643375966369
32	53791.83070626203	4119.7384495437145	0.7899693823784605	0.735720918616523
33	55444.62332269363	4100.257023721933	0.7933077757967956	0.7380663240596963
34	57130.3983871704	4082.313872113824	0.7942152681670187	0.7378065478147551
35	58767.792573696	4075.201223485172	0.7897905175438511	0.7347868976831368
36	60445.95216742437	4055.172345921397	0.7954922477976858	0.7416863302681307
37	62136.01601698436	4041.5689709857106	0.7962961559417102	0.7407617610560994
38	63793.37593591586	4033.281796902418	0.7934764613938653	0.7395727862230445
39	65445.145870458335	4002.113779246807	0.798025474963986	0.7467260351418474
40	67089.80510364845	3996.3578386455774	0.7973998674121905	0.7416493078399423
41	68742.21413983684	3994.8682928830385	0.7968522625570464	0.7439294432739358
42	70390.36174591444	3977.149071972817	0.7987971755429415	0.7455706153811317
43	72038.37034039944	3966.519322656095	0.7995822806908816	0.7461418917369419
44	73757.37555735838	3949.3849329277873	0.7992871819258953	0.7470269556144091
45	75475.70672788098	3940.772911682725	0.7989338136977799	0.7449305161705598
46	77191.09535574727	3918.305844474584	0.7989337908230888	0.7460342653315835
47	78902.14438271709	3916.956124706194	0.8000191415415125	0.7469467263619738
48	80619.36992658209	3896.781116217375	0.8029907316631596	0.74974281720826
49	82341.19036439247	3888.1130311340094	0.8000490768872657	0.7464993225466533
50	84036.40161931887	3876.8356487564743	0.80174557835271	0.7488244687848395
51	85684.32877124008	3872.6407121010125	0.8014762669894906	0.7496913093966855
52	87334.7815580219	3866.905721485615	0.8004961246003335	0.7480822154830111
53	89063.38916359842	3840.3155865371227	0.8038986586525134	0.7517303085615354
54	90726.2451221142	3843.166597995907	0.8031677665224809	0.7509048837397232
55	92376.89876821637	3820.4659320116043	0.8008841251107746	0.7480376337077795
56	94027.28894540016	3817.247022729367	0.8017295660689399	0.7491587774837262
57	95698.11244651861	3812.9235444813967	0.8029730037775571	0.7514970387901606
58	97419.08804114163	3818.4138805121183	0.8025995668204496	0.7503036331335745
59	99062.2645566035	3794.346351675689	0.8027940093196981	0.7506272559219714
60	100771.4753846936	3780.5850604325533	0.801305827666103	0.748031306451538
61	102491.16927448194	3778.437677823007	0.8018446486398647	0.7492259652192497
62	104259.0763838999	3765.44478687644	0.8042694726450413	0.7522678443918298
63	106028.41708288807	3757.96807487309	0.8037762104310544	0.7507463839552754
64	107761.83176704496	3758.3431961033493	0.804491120776905	0.7529648084940643
65	109480.4837802127	3742.8079791506752	0.8040750606453811	0.752438395433866
66	111155.88208800368	3729.165433883667	0.8035640019217181	0.751526683632427
67	112814.67138115782	3733.5854471214116	0.8040537566830698	0.7525244984289577
68	114473.69818349648	3733.0234908070415	0.8049975054386866	0.7532084198539345
69	116151.38029332086	3699.266446504742	0.803546174912454	0.7500368110106808
70	117831.0629849108	3711.5135230757296	0.8018076755141498	0.7475245423979713
71	119470.92133251578	3694.4560638181865	0.8054522237981698	0.753080779762718
72	121111.31946366467	3684.685282792896	0.8032549800947488	0.7502318152993186
73	122826.01175546274	3683.7699051573873	0.8055367915311671	0.756085019210258
74	124565.55818597227	3688.497845739126	0.804389038655422	0.7541822322708138
75	126310.37369116303	3680.0818952433765	0.8030906864383703	0.7519059365320321
76	128049.81696227938	3659.241710525006	0.8047163526103744	0.7520421971385223
77	129749.13215897232	3657.547927092761	0.805620124030845	0.7555425238951117
